2019-01-20 14:31:41.358   CheckpointerImpl send_rollback       215 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.358   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.358   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 1
2019-01-20 14:31:41.358   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.358   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 0
2019-01-20 14:31:41.359   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.359   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 1
2019-01-20 14:31:41.359   CheckpointerImpl send_rollback       215 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.359   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.359   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 0
2019-01-20 14:31:41.359   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.360   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 3
2019-01-20 14:31:41.360   CheckpointerImpl send_rollback       215 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.360   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.360   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 0
2019-01-20 14:31:41.360   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.360   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 0
2019-01-20 14:31:41.361   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.361   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 0
2019-01-20 14:31:41.361   CheckpointerImpl send_rollback       215 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.361   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.361   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 0
2019-01-20 14:31:41.361   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.362   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 4
2019-01-20 14:31:41.362   CheckpointerImpl send_rollback       215 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.362   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.362   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 4
2019-01-20 14:31:41.362   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.362   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 3
2019-01-20 14:31:41.362   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.363   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 0
2019-01-20 14:31:41.363   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.363   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 4
2019-01-20 14:31:41.363   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
